user_id	item_id	neg_items
0	1182	[2181, 8074, 1810, 8606, 1182, 1056, 7711, 2862, 5298, 7349, 4680, 4813, 6484, 2008, 3680, 8418, 6500, 8425, 4842, 3951]
1	5161	[7051, 4876, 268, 7567, 7832, 4256, 3496, 5161, 7850, 315, 4796, 8383, 3776, 5832, 6860, 2892, 7773, 8558, 5872, 8058]
2	3128	[6276, 8453, 2333, 4516, 7845, 6057, 6316, 3128, 6333, 4675, 2118, 7641, 4831, 7521, 6500, 486, 4842, 5872, 3444, 2047]
3	1668	[1668, 6661, 3730, 1060, 420, 7858, 5298, 2236, 8514, 8518, 7751, 4180, 474, 3680, 8550, 3817, 2028, 8558, 7664, 6782]
4	8324	[8324, 389, 6668, 1678, 7824, 5017, 5788, 7461, 4390, 7857, 4669, 189, 3656, 1490, 7509, 7125, 3034, 8290, 3939, 2661]
5	1160	[1156, 1797, 7047, 1160, 1054, 5665, 2978, 688, 178, 8381, 8254, 8389, 8012, 2912, 6635, 3057, 117, 3833, 763, 8061]
6	8512	[7044, 8460, 400, 7190, 8086, 4509, 800, 8097, 7349, 8252, 8512, 8513, 8132, 3017, 4043, 4439, 1652, 4598, 1913, 3324]
7	6741	[6529, 8073, 3466, 8588, 6798, 7577, 8607, 2735, 6960, 6710, 6981, 6986, 8651, 6741, 5603, 1000, 6381, 7662, 3693, 8304]
8	5603	[6278, 6536, 6542, 7447, 3097, 7207, 6314, 1452, 1843, 3767, 5820, 69, 7623, 200, 2248, 8058, 5603, 6628, 2667, 7034]
9	8031	[4612, 8454, 8071, 7441, 7954, 2335, 2479, 6193, 7478, 7875, 1091, 8134, 5194, 5451, 4043, 8158, 8031, 4068, 1384, 3709]
10	8660	[4228, 3972, 5776, 5398, 39, 3377, 5426, 2108, 4546, 3394, 8134, 4936, 463, 721, 8660, 2392, 6492, 5982, 8547, 7403]
11	8324	[8324, 1550, 1427, 1173, 917, 1953, 7464, 2359, 1467, 4800, 7745, 8136, 1490, 5076, 8280, 4318, 8555, 4971, 8431, 1917]
12	8353	[8066, 8453, 4625, 7199, 6176, 8353, 423, 5293, 6447, 7102, 6213, 7766, 7897, 4061, 4462, 1650, 7286, 1270, 8184, 1914]
13	2960	[5507, 6285, 2960, 6424, 7965, 7585, 7586, 8483, 2212, 1709, 306, 2995, 3123, 3006, 7872, 1232, 4187, 6512, 8564, 7286]
14	8594	[3970, 8594, 4631, 7592, 2857, 1195, 7595, 5805, 4268, 7854, 1592, 8383, 3788, 7117, 7635, 6103, 7004, 7148, 5743, 894]
15	7875	[3973, 2949, 1289, 7833, 4000, 5409, 2212, 8490, 6972, 5826, 7875, 1990, 1992, 6089, 2262, 8154, 4450, 7785, 8683, 6892]
16	3231	[7424, 8322, 259, 7810, 5133, 5783, 3865, 3231, 8096, 939, 2998, 1596, 1985, 7746, 7124, 6114, 5730, 8680, 1529, 5371]
17	8541	[8324, 3361, 932, 7846, 2987, 6447, 4669, 4938, 3915, 3152, 8021, 2391, 7768, 8541, 6751, 224, 5867, 4204, 5360, 2930]
18	8557	[4871, 5769, 4367, 7441, 8082, 1809, 786, 5906, 4248, 5149, 3508, 7739, 1856, 7623, 3400, 968, 8158, 6758, 8557, 7551]
19	7883	[8588, 8338, 4884, 4383, 1057, 1570, 8232, 5032, 4524, 7468, 4796, 1090, 7883, 3917, 4440, 3552, 6503, 4461, 6381, 4347]
20	7846	[3458, 6788, 7046, 7575, 8090, 8477, 7846, 1586, 7351, 6590, 5439, 5446, 8394, 8656, 8280, 8028, 1116, 4708, 8682, 7679]
21	5650	[8576, 8321, 5133, 5650, 6293, 3103, 2096, 184, 6980, 7365, 3797, 4570, 4837, 3814, 7528, 2922, 1387, 7025, 5620, 1272]
22	8675	[2970, 7965, 8609, 6696, 7731, 2618, 1985, 4035, 5445, 4825, 1114, 5853, 4065, 8162, 8675, 2028, 5109, 2549, 117, 5244]
23	7267	[3968, 8324, 2952, 4488, 276, 8224, 7337, 6955, 2486, 6072, 4413, 5569, 7490, 4422, 3656, 5581, 1746, 7267, 4580, 3706]
24	2721	[5385, 1290, 138, 3612, 8480, 2721, 3251, 6711, 60, 6727, 4306, 7510, 2137, 7513, 6493, 6635, 5872, 8306, 4084, 7161]
25	4703	[8064, 4358, 5133, 7439, 8338, 6291, 2322, 5915, 1700, 6699, 6338, 5839, 2775, 4703, 3679, 2401, 2277, 1387, 7664, 3577]
26	3820	[1540, 5770, 13, 7440, 5664, 1057, 929, 6820, 2855, 8628, 2881, 4546, 6083, 463, 8539, 6759, 8169, 3820, 4725, 4478]
27	5439	[1544, 4247, 3738, 5547, 2349, 3004, 5439, 3010, 8135, 6986, 460, 8656, 2394, 7003, 2012, 2911, 4704, 6116, 1640, 8681]
28	8560	[3474, 6682, 7074, 3238, 7081, 4656, 7220, 5816, 3903, 6850, 3782, 6727, 8527, 6866, 2515, 7639, 7770, 4959, 8680, 8560]
29	6164	[5891, 6276, 4745, 2702, 6164, 3990, 535, 4248, 3738, 541, 2205, 3358, 4004, 4774, 8491, 4282, 6742, 1883, 8682, 1780]
30	1505	[8325, 7824, 8088, 4380, 7072, 5664, 8484, 1060, 41, 8240, 3784, 5071, 6352, 7763, 7891, 5333, 4312, 1505, 2152, 2431]
31	7683	[5376, 7683, 7046, 7179, 7949, 2322, 2963, 5396, 936, 6700, 431, 2486, 4416, 4811, 3156, 8556, 4077, 2547, 4988, 5118]
32	8389	[5376, 7949, 3995, 2973, 1824, 3618, 3620, 8232, 6705, 8506, 8389, 7369, 8270, 4823, 7775, 7521, 4965, 3941, 1647, 5875]
33	8606	[6276, 5766, 1671, 8074, 8335, 6808, 8606, 3105, 1703, 7592, 5426, 8502, 4537, 6595, 7627, 8013, 1114, 5606, 3817, 2551]
34	7478	[905, 10, 274, 3870, 6051, 8483, 5159, 4268, 4524, 1076, 7478, 8510, 7616, 7363, 8141, 337, 7267, 1899, 4461, 2815]
35	8280	[3585, 8321, 8324, 1542, 8465, 682, 4651, 5421, 6322, 7991, 8258, 4938, 80, 2131, 8280, 358, 7655, 8294, 8558, 3580]
36	8445	[5509, 5272, 1305, 7068, 2334, 1567, 5042, 4275, 189, 1239, 7512, 5853, 8541, 8159, 6888, 7403, 3314, 1141, 4986, 8445]
37	8679	[3328, 8324, 5017, 8353, 8614, 8615, 2088, 8618, 6194, 3004, 3779, 4804, 1989, 3656, 7768, 3036, 5341, 3045, 8679, 5374]
38	5500	[7937, 7425, 7821, 1047, 5272, 2092, 2610, 6578, 707, 5450, 1362, 6116, 490, 7403, 2028, 4334, 5616, 6390, 5500, 5245]
39	7161	[8332, 6157, 7185, 4248, 3503, 6325, 6073, 6848, 3396, 6217, 7628, 7894, 4182, 7773, 4323, 2667, 4084, 7161, 7804, 3709]
40	3474	[389, 6151, 8328, 8203, 1421, 3474, 2475, 2479, 4017, 8378, 3777, 8649, 8024, 7908, 8038, 1384, 6775, 4474, 3965, 8318]
41	1552	[777, 1552, 5906, 5524, 3242, 5163, 6705, 5686, 7226, 69, 3019, 4694, 1497, 5978, 5853, 7264, 8672, 8676, 996, 3441]
42	7668	[7450, 8474, 7965, 7723, 450, 5708, 2900, 6488, 6232, 5095, 5096, 7400, 7277, 6637, 5743, 368, 7282, 7668, 3705, 7931]
